key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct

0intro--plan9,476,34,1,0,0,0,1,195736,0,0,6482,1752619,217150,3377,15457,16128,671
2ndQuadrant--repmgr,654,132,1,1,1,0,15,716,0,0,35,12689,2775,9,45,49,4
a0rtega--pafish,525,122,1,1,1,0,9,964,0,0,31,1475,190,30,45,55,10
a2o--snoopy,338,61,1,1,0,0,14,1568,0,19,265,8472,7324,96,295,328,33
aardappel--treesheets,325,49,1,1,1,0,27,2928,0,0,25,7787,522,126,191,221,30
abperiasamy--rtl8812AU_8821AU_linux,345,150,1,1,1,0,69,11288,0,0,405,229039,31284,58,412,432,20
abrasive--shairport,2151,611,1,0,1,0,52,388,0,0,37,5655,983,26,46,54,8
acassen--keepalived,834,244,1,1,0,0,10,3144,3,75,163,42224,8033,101,256,287,31
adafruit--Adafruit-GFX-Library,591,459,1,1,1,0,41,1560,0,0,58,21727,344,4,60,62,2
AdAway--AdAway,778,181,1,1,1,0,145,30592,0,0,1315,307829,110328,2857,2346,2737,391
adobe-flash--crossbridge,484,183,1,1,1,1,28,1992876,59,0,81133,14231733,3354516,47067,115212,122645,7433
adoxa--ansicon,689,86,1,1,1,0,21,196,0,0,12,3462,435,0,18,18,0
adrianlopezroche--fdupes,390,57,1,1,1,0,37,160,0,0,4,1371,258,15,26,32,6
aerospike--aerospike-server,1283,248,1,1,0,0,34,5080,0,0,273,90322,23589,187,334,392,58
aggregateknowledge--postgresql-hll,376,45,1,1,1,0,16,58520,0,0,39,4383,1045,4,94,96,2
Airblader--i3,872,41,1,1,1,0,3,7412,0,0,319,33737,14370,71,425,454,29
aircrack-ng--aircrack-ng,507,202,1,1,0,0,13,13352,30,0,216,69102,10732,141,405,446,41
akheron--jansson,1206,350,1,1,1,0,29,2324,408,16,69,8766,1791,614,343,472,129
akopytov--sysbench,505,145,1,1,1,0,13,4,0,0,,,,0,0,0,0
albfan--miraclecast,356,46,1,1,1,0,48,956,7,0,81,21217,2371,25,91,101,10
AlexDenisov--iActiveRecord,368,55,1,1,1,1,19,1588,0,0,185,8019,1638,119,211,245,34
Alexey-Yakovenko--deadbeef,407,67,1,1,1,0,281,53016,0,0,1930,597397,105797,1018,2767,2997,230
alibaba--LVS,751,409,1,1,1,0,18,482468,0,0,28612,8900088,2043344,12423,32557,34860,2303
alibaba--nginx-http-concat,511,165,1,1,1,0,30,32,0,0,2,572,10,0,3,3,0
alibaba--tengine,4802,1422,1,1,1,0,133,16280,0,0,761,214442,13904,407,1262,1360,98
alibaba--tsar,1268,526,1,1,1,0,21,944,0,0,58,6988,992,14,74,81,7
allinurl--goaccess,3277,266,1,1,0,0,58,1368,0,0,73,22420,5995,12,82,87,5
alols--xcape,903,59,1,1,1,0,18,68,0,0,3,554,31,0,5,5,0
alonho--pytrace,403,16,1,1,1,0,9,392,0,0,32,2344,54,11,39,44,5
AltraMayor--f3,386,50,1,1,1,0,10,216,0,0,18,4046,444,0,21,21,0
ambrop72--badvpn,374,120,1,1,1,0,8,9792,0,0,901,135746,51690,223,1002,1075,73
andlabs--libui,3796,184,1,1,1,0,107,1872,36,15,212,29066,2524,42,251,268,17
andrewrk--libsoundio,471,46,1,1,1,0,32,800,7,4,44,12605,1137,12,48,54,6
android--platform_development,1207,1492,1,0,1,0,7,343820,0,0,7006,417566,184605,28280,12131,16854,4723
ands--lightmapper,326,16,1,1,0,0,1,1900,0,0,4,1938,133,7,10,13,3
angband--angband,366,163,1,0,0,0,3,27156,0,7,424,101029,41121,204,808,867,59
answer-huang--dSYMTools,982,292,1,1,1,0,4,72968,0,0,32,1395,921,244,136,177,41
antirez--disque,5559,333,1,1,1,0,39,4416,0,0,283,68146,14212,115,325,353,28
antirez--dump1090,754,507,1,1,1,0,58,864,0,0,7,2694,618,4,9,11,2
antirez--kilo,2884,316,1,1,1,0,34,60,0,0,3,979,192,0,5,5,0
antirez--linenoise,1461,296,1,1,1,0,77,72,0,0,4,877,339,0,6,6,0
