key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct

2dxgujun--AndroidTagGroup,1544,363,1,1,1,0,41,476,0,0,32,1624,285,268,45,90,45
500px--500px-android-blur,1720,246,1,1,1,0,19,10976,0,0,22,740,52,222,51,93,42
500px--greedo-layout-for-android,1072,108,1,1,1,0,9,1064,0,0,27,1078,157,118,60,85,25
81813780--AVLoadingIndicatorView,3709,863,1,1,1,0,9,3148,0,0,56,2755,202,230,68,110,42
ACRA--acra,3255,855,1,1,1,0,8,1844,0,14,93,6914,3981,160,106,136,30
Activiti--Activiti,1626,1667,1,1,1,0,116,77348,0,0,4591,360503,107599,11421,5481,6734,1253
actorapp--actor-platform,2913,627,1,1,0,0,314,74996,0,0,3740,354974,42358,10085,5415,6565,1150
addthis--stream-lib,1459,390,1,1,1,0,17,3516,0,0,79,8683,2784,248,85,122,37
afollestad--material-camera,1387,278,1,1,1,0,16,3016,0,0,74,5262,336,195,86,122,36
afollestad--material-dialogs,7740,1615,1,1,0,0,16,3140,0,0,130,10688,690,408,160,231,71
AigeStudio--DatePicker,1165,322,1,1,1,0,36,2492,0,0,34,2742,659,216,52,86,34
AigeStudio--WheelPicker,1066,259,1,1,1,0,17,5020,0,0,34,2403,920,180,60,95,35
airbnb--aerosolve,3464,416,1,1,1,1,2,5480,0,0,287,28353,2234,522,312,387,75
airbnb--AirMapView,1227,136,1,1,1,1,9,1056,0,0,76,3811,367,267,91,138,47
airbnb--airpal,1853,283,1,1,1,1,66,5496,0,0,203,13077,1296,552,223,303,80
airbnb--DeepLinkDispatch,1544,139,1,1,1,0,12,1964,0,0,40,3094,424,294,51,104,53
airbnb--epoxy,1395,76,1,1,0,0,6,3420,0,0,128,7708,817,398,144,218,74
akexorcist--Android-RoundCornerProgressBar,1075,232,1,1,1,0,28,1216,0,0,27,2546,217,183,75,109,34
alamkanak--Android-Week-View,1993,659,1,1,1,0,59,532,0,0,29,2452,566,154,43,72,29
alexvasilkov--FoldableLayout,1309,314,1,1,1,0,7,2684,0,0,35,2252,188,185,55,87,32
alibaba--canal,1837,964,1,1,1,1,30,4240,0,0,324,41629,12467,2226,338,637,299
alibaba--cobar,1457,881,1,1,1,0,40,19200,0,11,1059,81580,24684,1841,1162,1368,206
