key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct

23--resumable.js,2979,374,1,1,1,0,51,396,0,0,34,4648,573,78,42,58,16
a8m--angular-filter,2654,269,1,1,1,0,109,836,74,0,138,6634,1563,59,140,156,16
acdlite--recompose,2949,167,1,1,1,0,33,520,0,0,109,3330,60,27,113,121,8
acgotaku--BaiduExporter,2759,518,1,1,1,0,13,860,0,0,26,3641,311,27,41,50,9
adam-p--markdown-here,15556,2537,1,1,1,1,156,13996,2,0,130,36065,7750,201,279,325,46
adamwdraper--Numeral-js,4438,502,1,1,1,1,197,540,0,0,105,5810,864,15,107,113,6
addyosmani--backbone-fundamentals,9716,1608,1,1,1,1,75,9108,0,0,113,47164,8079,337,404,472,68
addyosmani--basket.js,2796,239,1,1,1,1,42,4,0,0,,,,0,0,0,0
addyosmani--critical,3720,126,1,1,1,0,33,780,78,0,75,17670,456,41,79,90,11
adobe--brackets,26277,5557,1,1,1,1,1782,49284,833,0,2081,429785,123210,5400,2884,3655,771
adobe-webplatform--Snap.svg,8888,843,1,1,0,0,211,5652,19,30,113,56957,15222,144,161,197,36
adrai--flowchart.js,3369,431,1,1,1,1,43,504,0,0,26,2547,210,8,30,34,4
Aerolab--midnight.js,2977,329,1,1,0,1,18,4,0,0,,,,0,0,0,0
afaqurk--linux-dash,7288,893,1,1,1,0,5,896,0,0,76,3780,914,41,83,97,14
aFarkas--html5shiv,7615,1974,1,1,1,1,51,588,45,0,45,6374,750,29,49,59,10
aFarkas--lazysizes,5429,347,1,1,1,1,58,988,0,0,88,16062,292,84,92,122,30
aframevr--aframe,3828,746,1,1,1,1,225,54992,0,0,337,144113,26434,471,421,545,124
aheckmann--gm,3621,375,1,1,1,1,190,7528,134,0,205,5938,649,19,254,261,7
airbnb--enzyme,7071,514,1,1,0,1,106,1064,10,0,167,14052,1200,23,170,178,8
airbnb--infinity,2851,297,1,1,1,1,31,256,4,0,14,2077,762,14,15,21,6
airbnb--javascript,42728,8119,1,1,1,1,69,384,0,0,29,4864,607,33,38,49,11
airbnb--react-dates,2592,156,1,1,0,1,48,832,30,0,81,9248,163,33,90,103,13
ajaxorg--ace,13737,3273,1,1,1,1,571,20948,0,96,1008,240089,66766,241,1386,1448,62
aksonov--react-native-router-flux,2611,640,1,1,1,0,283,1244,5,0,66,4952,431,158,92,123,31
akveo--blur-admin,5306,1038,1,1,1,1,103,12908,0,0,329,20212,826,705,455,581,126
AlexNisnevich--untrusted,3107,610,1,1,1,1,71,225500,0,0,473,75038,6392,547,553,673,120
alexwolfe--Buttons,4914,881,1,1,1,1,8,2224,0,0,130,24380,4654,160,168,205,37
