key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct

10up--ElasticPress,398,98,1,1,1,0,78,1376,0,0,41,9920,2937,43,46,63,17
1N3--Sn1per,513,192,1,1,1,0,8,740,0,0,10,4618,823,4,13,15,2
320press--wordpress-bootstrap,1406,600,1,1,1,0,87,6604,0,0,388,48105,8105,241,467,522,55
aaronlord--laroute,390,42,1,1,1,0,15,496,0,0,29,899,295,71,33,53,20
abraham--twitteroauth,3255,1525,1,1,0,0,48,992,0,0,24,1018,585,10,28,32,4
adamfisk--LittleProxy,737,346,1,1,1,1,56,4176,0,0,112,15088,3464,119,285,310,25
afragen--github-updater,1316,212,1,1,1,1,17,452,0,0,30,6540,2531,23,35,45,10
akalongman--php-telegram-bot,657,214,1,1,1,0,36,928,0,2,138,7067,5723,60,142,161,19
Alexia--php7mar,418,25,1,1,1,0,8,116,0,0,11,828,544,7,13,16,3
allegro--php-protobuf,439,169,1,1,1,0,11,564,0,0,63,6741,4140,30,87,96,9
AlloVince--EvaThumber,440,170,1,1,0,0,10,640,0,0,38,4334,1144,83,53,76,23
allynbauer--statuspanic,460,114,1,1,1,0,1,412,0,0,33,3330,993,52,37,55,18
amazonwebservices--aws-sdk-for-php,733,272,0,1,0,0,8,4816,0,0,102,18981,21679,49,114,132,18
ampache--ampache,1423,287,1,1,1,0,200,22908,0,0,621,99575,28968,502,878,1024,146
amphp--aerys,546,32,1,1,0,0,7,552,0,0,56,8429,1374,9,58,62,4
amphp--amp,401,28,1,1,0,0,2,148,0,0,25,1386,729,5,26,28,2
Anahkiasen--underscore-php,639,66,1,1,1,1,29,164,0,0,21,1518,1285,13,21,26,5
analogueorm--analogue,391,31,1,1,1,0,25,604,0,0,93,5688,3893,37,97,109,12
anandkunal--ToroPHP,1121,190,1,1,1,1,14,216,0,0,28,1707,467,37,29,40,11
anchorcms--anchor-cms,2820,532,1,1,1,0,36,1512,0,0,234,14356,2518,185,256,306,50
andersao--l5-repository,1060,241,1,1,0,0,65,592,0,0,67,3820,2359,184,82,117,35
andres-montanez--Magallanes,513,140,1,1,0,0,85,772,0,0,101,5721,3342,142,110,145,35
andrew-worsfold--tailor,838,65,1,1,1,1,15,5096,0,0,432,49553,24195,597,458,564,106
andryyy--mailcow,720,121,1,1,1,0,221,19640,0,0,47,9154,250,176,103,151,48
antonioribeiro--firewall,390,46,1,1,1,0,19,208,0,0,29,1316,811,50,33,48,15
