key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct

0rpc--zerorpc-python,1813,219,1,1,0,0,9,316,0,2,34,4101,891,8,37,41,4
0x5e--wechat-deleted-friends,4571,1687,1,1,1,0,44,24,0,0,2,430,30,0,2,2,0
10se1ucgo--DisableWinTracking,3112,200,1,1,1,0,72,100,0,0,4,666,159,0,6,6,0
7sDream--zhihu-py3,725,296,1,1,1,0,13,876,22,0,41,11124,1310,11,63,68,5
9miao--Firefly,846,342,1,1,1,0,8,864,0,0,90,6133,1225,83,138,166,28
a1studmuffin--SpaceshipGenerator,4342,168,1,1,1,0,2,7080,0,0,4,737,100,4,11,13,2
aaronsw--html2text,1432,353,1,1,1,0,45,184,24,0,25,1644,84,2,28,29,1
achiku--jungle,826,36,1,1,1,0,9,132,0,0,17,876,89,6,24,27,3
adobe--brackets-shell,1053,629,1,0,1,0,23,4332,0,0,247,39396,13431,240,399,450,51
adobe-fonts--source-code-pro,9504,896,1,1,0,1,16,214340,0,0,4,258,28,362,46353,46441,88
agiliq--merchant,842,150,1,1,0,0,24,1640,0,0,150,14197,1092,115,208,239,31
ahupp--python-magic,733,114,1,1,1,0,22,204,12,0,5,364,69,5,18,20,2
aigamedev--scikit-neuralnetwork,900,122,1,1,0,1,31,732,0,0,32,2724,552,16,48,54,6
airbnb--caravel,7872,950,1,1,0,1,306,29444,0,0,330,39183,2870,320,423,492,69
ajalt--fuckitpy,2159,89,1,1,0,0,3,36,0,0,6,262,69,0,7,7,0
ajbrock--Neural-Photo-Editor,1248,78,1,1,1,0,3,13348,0,0,14,2299,897,2,20,21,1
ajenti--ajenti,4377,464,0,1,0,0,352,14796,0,0,243,11861,666,11198,1413,3482,2069
ajinabraham--Mobile-Security-Framework-MobSF,1250,451,1,1,1,1,43,51264,0,0,227,180454,6010,427,415,505,90
AlessandroZ--LaZagne,1833,394,1,1,1,0,7,1148,0,0,75,7434,1241,134,108,139,31
alex--django-taggit,1530,416,1,1,1,0,85,544,0,0,24,2533,302,159,73,112,39
alexjc--neural-doodle,6812,475,1,1,0,0,25,4528,0,0,3,436,137,6,28,31,3
alexjc--neural-enhance,3384,185,1,1,0,0,10,2840,0,0,3,401,113,4,13,15,2
alex-sherman--deco,1310,44,1,1,1,1,4,84,3,0,15,562,3,6,16,19,3
alibaba--freeline,1421,199,1,1,1,0,19,47816,0,0,173,12403,1534,1610,249,481,232
amoffat--sh,3484,305,1,1,0,1,23,232,0,0,4,3500,1395,0,10,10,0
amoffat--snake,1304,53,1,1,1,0,6,92,0,0,7,1315,363,7,7,10,3
amperka--ino,924,238,1,1,1,1,157,272,0,11,27,1300,381,51,45,60,15
amperser--proselint,2085,94,1,1,0,0,253,4700,0,0,530,52110,4391,687,600,739,139
amscanne--huptime,1771,71,1,1,1,0,5,448,9,0,23,2932,3451,18,27,34,7
amueller--word_cloud,1580,491,1,1,1,1,35,3828,3,28,29,12050,6533,35,59,72,13
andelf--fuck12306,1433,493,1,1,1,0,2,172,0,0,2,145,13,2,7,8,1
andersbll--deeppy,1019,204,1,1,1,0,18,560,14,20,79,5901,542,84,95,121,26
andersbll--neural_artistic_style,1301,284,1,1,1,0,25,2508,0,0,4,305,29,2,19,20,1
andialbrecht--sqlparse,763,190,1,1,1,0,46,444,0,0,49,4349,945,20,65,73,8
andresriancho--w3af,1170,456,1,1,1,0,452,48016,0,83,1779,291198,58869,2757,2523,2944,421
androguard--androguard,1165,401,1,1,1,0,74,31068,0,0,253,204189,7528,470,408,502,94
andymccurdy--redis-py,4548,1150,1,1,1,0,179,552,0,0,33,6512,1562,22,51,60,9
angr--angr,1011,172,1,1,1,0,95,4992,0,0,139,21511,7354,37,150,161,11
angusshire--greenhat,1174,143,1,1,1,0,10,84,0,0,2,45,4,0,5,5,0
anishathalye--dotbot,833,58,1,1,1,0,18,288,35,0,53,1626,20,30,57,69,12
anishathalye--git-remote-dropbox,1918,72,1,1,0,0,16,64,0,0,3,525,213,2,7,8,1
anishathalye--neural-style,1423,304,1,1,1,0,6,1220,0,0,4,331,23,2,12,13,1
ansible--ansible-container,1156,144,1,1,1,0,46,1864,69,0,111,13842,1163,224,186,239,53
ansible--ansible-modules-core,879,1957,1,1,0,0,1202,4,0,0,,,,0,0,0,0
ansible--ansible-modules-extras,762,1580,1,1,0,0,690,4,0,0,,,,0,0,0,0
ansible--ansible,19559,5955,1,1,0,0,1588,4,0,0,,,,0,0,0,0
antiboredom--videogrep,1362,102,1,1,1,1,24,340,0,0,16,1026,3062,10,20,24,4
apache--incubator-airflow,3737,906,1,0,0,0,173,10764,0,0,384,71453,15416,277,506,580,74
apache--libcloud,1053,633,1,0,0,0,33,4,0,0,,,,0,0,0,0
apenwarr--redo,850,76,1,0,0,0,12,1272,0,0,46,3476,213,127,256,296,40
apenwarr--sshuttle,7343,595,1,0,0,0,18,372,0,0,29,4562,435,10,48,52,4
