key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct

19wu--19wu,567,275,1,1,1,1,50,3180,0,2,450,10499,951,447,504,624,120
24pullrequests--24pullrequests,873,319,1,1,1,0,41,15420,4,0,346,16851,968,273,418,497,79
aanand--deadweight,1273,59,1,1,1,0,18,124,9,0,16,686,22,20,20,27,7
aanand--git-up,2772,143,1,1,1,1,45,84,0,0,7,406,1,9,12,16,4
aaronchi--jrails,722,82,1,1,1,0,11,252,0,0,13,628,274,13,17,23,6
aasm--aasm,2559,403,1,1,1,1,55,1084,0,0,182,10037,695,82,197,220,23
achiu--consular,794,50,1,1,1,0,26,136,0,0,14,643,341,15,23,29,6
activeadmin--activeadmin,6926,2547,0,1,1,0,232,2936,0,0,455,25531,2598,448,523,625,102
activemerchant--active_merchant,3451,1957,1,1,1,1,125,8336,414,0,649,143980,6610,114,661,689,28
activerecord-hackery--meta_search,902,137,1,1,1,0,50,288,20,0,31,2501,375,33,37,48,11
activerecord-hackery--meta_where,616,40,1,1,1,0,12,256,23,0,41,1695,19,17,46,52,6
activerecord-hackery--ransack,2988,479,1,1,1,0,86,772,0,0,101,9900,309,142,105,137,32
activerecord-hackery--squeel,2274,197,1,1,1,0,87,800,0,0,112,7442,821,108,123,149,26
activescaffold--active_scaffold,911,295,1,1,1,0,27,2516,105,0,344,22095,2428,281,386,456,70
ActsAsParanoid--acts_as_paranoid,778,127,1,1,1,0,12,160,9,0,17,1643,33,9,24,28,4
aderyabin--rove,636,66,1,1,1,0,16,568,0,0,46,8214,1435,34,53,66,13
adhearsion--blather,544,83,1,1,1,1,35,1284,0,0,139,12154,2986,170,146,187,41
adzap--validates_timeliness,995,123,0,1,1,1,13,276,0,0,35,1884,69,47,44,58,14
ai--autoprefixer-rails,901,49,1,1,1,0,0,2380,0,0,34,28895,3190,62,45,61,16
airblade--paper_trail,4261,578,1,1,1,0,17,1084,107,4,157,8983,1065,171,167,210,43
airbnb--nerve,724,104,1,1,1,0,18,216,0,0,32,1458,105,32,38,49,11
airbnb--synapse,1497,201,1,1,1,0,46,300,0,0,35,3839,253,31,40,51,11
airbrake--airbrake,737,336,1,1,1,0,2,440,0,0,42,3002,242,101,55,83,28
alexch--rerun,662,55,1,1,1,0,46,288,0,0,24,3889,77,11,29,34,5
alexreisner--geocoder,4200,846,1,1,1,0,53,1548,191,0,180,9930,1083,88,312,336,24
alsmola--nopassword,562,27,1,1,1,0,2,18224,75,0,56,811,164,195,70,119,49
