key,star,fork,hasdownload,hasissue,haswiki,haspage,openissue,size,testfile,docfile,srcfile,loc,comment,filedepth,filect,dirbranching,dirct

0xAX--git-cheat,183,30,1,1,0,0,0,28,0,0,2,549,5,0,3,3,0
1N3--BruteX,199,76,1,1,1,0,0,124,0,0,5,331,19,4,18,20,2
2creatives--vagrant-centos,239,117,1,1,1,0,10,40,0,0,4,172,10,0,8,8,0
91yun--serverspeeder,986,397,1,1,1,0,15,20,0,0,2,207,50,0,2,2,0
adambrenecki--virtualfish,397,70,1,1,1,0,12,116,0,0,5,240,165,4,21,23,2
adlogix--docker-machine-nfs,551,75,1,1,1,0,8,256,0,0,2,384,65,0,3,3,0
AdmitHub--meteor-buildpack-horse,418,392,1,1,1,0,15,48,0,0,6,191,90,4,7,9,2
adobe-fonts--source-serif-pro,991,87,1,1,0,1,8,53008,0,0,2,52,1,157,8318,8356,38
aerofs--gockerize,597,13,1,1,1,0,0,64,0,0,4,156,18,2,8,9,1
aespinosa--docker-jenkins,178,119,1,1,0,0,0,24,2,0,2,51,0,2,4,5,1
Ahtenus--minecraft-init,366,144,1,1,1,0,57,36,0,0,2,863,148,0,4,4,0
airtonix--ansible-django,171,28,1,1,1,0,4,384,0,0,46,910,64,134,63,94,31
aiyodk--Alfred-Extensions,191,36,1,1,1,0,11,1708,0,0,16,733,111,84,78,104,26
alandipert--gherkin,484,27,1,1,1,0,18,64,0,0,5,1221,11,0,9,9,0
alecive--FlatWoken,167,48,1,1,1,0,11,37276,0,0,2,254,39,98,4261,4288,27
alexa--alexa-avs-sample-app,5016,694,1,1,1,0,78,19620,0,0,222,11272,4432,687,374,461,87
alexellis--docker-arm,217,18,1,1,1,0,2,43648,0,0,112,3629,1044,255,198,260,62
Alexpux--MINGW-packages,484,329,1,1,1,0,225,29296,0,0,61,7648,1305,1984,3393,4385,992
Alexpux--MSYS2-packages,403,150,1,1,1,0,177,14272,0,0,70,13852,2495,797,1453,1841,388
aliso--vvv-site-wizard,385,55,1,1,1,0,23,48,0,0,2,396,107,0,3,3,0
alrra--dotfiles,412,107,1,1,0,0,2,1260,4,0,68,2217,682,297,87,146,59
altercation--mutt-colors-solarized,240,78,1,1,1,0,14,80,0,0,2,143,23,0,7,7,0
amplab--docker-scripts,266,116,1,1,1,0,11,1064,2,0,61,1507,109,266,178,260,82
analytically--hadoop-ansible,315,95,1,1,0,0,5,1824,0,0,104,1829,228,573,158,314,156
andreafabrizi--Dropbox-Uploader,4327,669,1,1,1,1,41,124,0,0,5,1771,272,0,6,6,0
andreamazz--BubbleTransition,2178,163,1,1,1,0,2,692,0,0,20,582,124,93,65,91,26
andreamazz--SubtleVolume,520,25,1,1,1,0,1,564,0,0,21,554,116,111,68,98,30
andreasgal--B2G,937,158,1,1,1,0,83,1184,0,0,40,4730,1062,739,64,220,156
andrep--git-svn-clone-externals,266,82,1,1,0,0,14,24,0,0,4,215,14,0,5,5,0
